"Correlation","Group","Dataset1","Dataset2","SameDataset"
0.0393360336333445,"Between clusters","Cheung2018M","Mayran2019M","FALSE"
0.0800874419993854,"Within cluster","Cheung2018M","Mayran2019M","FALSE"
0.0366565666542505,"Between clusters","Cheung2018M","Mayran2019M","FALSE"
0.0331073553468277,"Within cluster","Cheung2018M","Mayran2019M","FALSE"
-0.0200763892089694,"Between clusters","Cheung2018M","Mayran2019M","FALSE"
0.147139962019278,"Within cluster","Cheung2018M","Mayran2019M","FALSE"
0.0437695915448462,"Between clusters","Cheung2018M","Mayran2019M","FALSE"
0.207242379122989,"Within cluster","Cheung2018M","Mayran2019M","FALSE"
-0.0564877339566195,"Between clusters","Cheung2018M","Mayran2019M","FALSE"
0.205864651747521,"Within cluster","Fletcher2019M","Mayran2019M","FALSE"
-0.0323234152974178,"Between clusters","Fletcher2019M","Mayran2019M","FALSE"
0.0253253146253752,"Within cluster","Fletcher2019M","Mayran2019M","FALSE"
0.0237768019848519,"Between clusters","Fletcher2019M","Mayran2019M","FALSE"
0.0339342970415166,"Within cluster","Fletcher2019M","Mayran2019M","FALSE"
0.0250613567500144,"Between clusters","Fletcher2019M","Mayran2019M","FALSE"
0.00251035248894305,"Within cluster","Fletcher2019M","Mayran2019M","FALSE"
0.0065556906718678,"Between clusters","Fletcher2019M","Mayran2019M","FALSE"
0.0716251734228035,"Within cluster","Fletcher2019M","Mayran2019M","FALSE"
0.0289009012527202,"Between clusters","Fletcher2019M","Mayran2019M","FALSE"
0.101648112870047,"Within cluster","Fletcher2019M","Mayran2019M","FALSE"
0.0102976493750496,"Between clusters","Fletcher2019M","Mayran2019M","FALSE"
0.172245805406766,"Within cluster","Lopez2021M","Mayran2019M","FALSE"
0.0529473415946382,"Between clusters","Lopez2021M","Mayran2019M","FALSE"
0.146989350539133,"Within cluster","Lopez2021M","Mayran2019M","FALSE"
0.0907034749765434,"Between clusters","Lopez2021M","Mayran2019M","FALSE"
0.155576812007509,"Within cluster","Lopez2021M","Mayran2019M","FALSE"
0.0858890993572631,"Between clusters","Lopez2021M","Mayran2019M","FALSE"
0.0700987144364936,"Within cluster","Lopez2021M","Mayran2019M","FALSE"
-0.0882371095060148,"Between clusters","Lopez2021M","Mayran2019M","FALSE"
0.194784074278487,"Within cluster","Lopez2021M","Mayran2019M","FALSE"
0.100736517486181,"Between clusters","Lopez2021M","Mayran2019M","FALSE"
0.445668657236159,"Within cluster","Lopez2021M","Mayran2019M","FALSE"
-0.216688492857504,"Between clusters","Lopez2021M","Mayran2019M","FALSE"
0.22943976051107,"Within cluster","Mayran2019M","Mayran2019M","TRUE"
-0.0392324497226205,"Between clusters","Mayran2019M","Mayran2019M","TRUE"
0.00192733590182378,"Random shuffle","Mayran2019M","Mayran2019M","TRUE"
0.109829398888695,"Random shuffle within","Mayran2019M","Mayran2019M","TRUE"
0.10461485117287,"Within cluster","Mayran2019M","Mayran2019M","TRUE"
0.0362197359820685,"Between clusters","Mayran2019M","Mayran2019M","TRUE"
-3.17617914156291e-05,"Random shuffle","Mayran2019M","Mayran2019M","TRUE"
0.0607539003399867,"Random shuffle within","Mayran2019M","Mayran2019M","TRUE"
0.110459335624873,"Within cluster","Mayran2019M","Mayran2019M","TRUE"
0.0260003037451849,"Between clusters","Mayran2019M","Mayran2019M","TRUE"
1.63820444572288e-05,"Random shuffle","Mayran2019M","Mayran2019M","TRUE"
0.068414549184931,"Random shuffle within","Mayran2019M","Mayran2019M","TRUE"
0.119432112590951,"Within cluster","Mayran2019M","Mayran2019M","TRUE"
-0.0728925636676393,"Between clusters","Mayran2019M","Mayran2019M","TRUE"
-1.26490857240591e-05,"Random shuffle","Mayran2019M","Mayran2019M","TRUE"
0.0735804266371481,"Random shuffle within","Mayran2019M","Mayran2019M","TRUE"
0.170114155924538,"Within cluster","Mayran2019M","Mayran2019M","TRUE"
0.0531317242361461,"Between clusters","Mayran2019M","Mayran2019M","TRUE"
0.000314947110850539,"Random shuffle","Mayran2019M","Mayran2019M","TRUE"
0.134181456530829,"Random shuffle within","Mayran2019M","Mayran2019M","TRUE"
0.23450420491327,"Within cluster","Mayran2019M","Mayran2019M","TRUE"
-0.0832947882018828,"Between clusters","Mayran2019M","Mayran2019M","TRUE"
0.000759457153178679,"Random shuffle","Mayran2019M","Mayran2019M","TRUE"
0.1250528152287,"Random shuffle within","Mayran2019M","Mayran2019M","TRUE"
0.234350434657879,"Within cluster","RufZamojski2021M","Mayran2019M","FALSE"
-0.0488405045387405,"Between clusters","RufZamojski2021M","Mayran2019M","FALSE"
0.0658730208118545,"Within cluster","RufZamojski2021M","Mayran2019M","FALSE"
0.028322194816398,"Between clusters","RufZamojski2021M","Mayran2019M","FALSE"
0.0983616368048541,"Within cluster","RufZamojski2021M","Mayran2019M","FALSE"
0.0273759417166046,"Between clusters","RufZamojski2021M","Mayran2019M","FALSE"
0.180745785995919,"Within cluster","RufZamojski2021M","Mayran2019M","FALSE"
-0.0933580728385935,"Between clusters","RufZamojski2021M","Mayran2019M","FALSE"
0.119752251904165,"Within cluster","RufZamojski2021M","Mayran2019M","FALSE"
0.0355113000208953,"Between clusters","RufZamojski2021M","Mayran2019M","FALSE"
0.406733730737622,"Within cluster","RufZamojski2021M","Mayran2019M","FALSE"
-0.114875913120021,"Between clusters","RufZamojski2021M","Mayran2019M","FALSE"
0.244897105262421,"Within cluster","Vennekens2021M","Mayran2019M","FALSE"
-0.0295031754759829,"Between clusters","Vennekens2021M","Mayran2019M","FALSE"
0.0538170962410863,"Within cluster","Vennekens2021M","Mayran2019M","FALSE"
0.0451275531247923,"Between clusters","Vennekens2021M","Mayran2019M","FALSE"
0.112069179348318,"Within cluster","Vennekens2021M","Mayran2019M","FALSE"
0.0467451796699036,"Between clusters","Vennekens2021M","Mayran2019M","FALSE"
0.0648179991197375,"Within cluster","Vennekens2021M","Mayran2019M","FALSE"
-0.0195435904428593,"Between clusters","Vennekens2021M","Mayran2019M","FALSE"
0.11745788716083,"Within cluster","Vennekens2021M","Mayran2019M","FALSE"
0.0494035945718933,"Between clusters","Vennekens2021M","Mayran2019M","FALSE"
0.224400123362943,"Within cluster","Vennekens2021M","Mayran2019M","FALSE"
-0.0326444237326356,"Between clusters","Vennekens2021M","Mayran2019M","FALSE"
0.174194663539059,"Within cluster","Cheung2018M","RufZamojski2021M","FALSE"
0.0404676930861125,"Between clusters","Cheung2018M","RufZamojski2021M","FALSE"
0.0681081630073043,"Within cluster","Cheung2018M","RufZamojski2021M","FALSE"
0.0316840249109702,"Between clusters","Cheung2018M","RufZamojski2021M","FALSE"
0.025308185893113,"Within cluster","Cheung2018M","RufZamojski2021M","FALSE"
0.0290075102729738,"Between clusters","Cheung2018M","RufZamojski2021M","FALSE"
0.047069547509319,"Within cluster","Cheung2018M","RufZamojski2021M","FALSE"
0.0258941467019111,"Between clusters","Cheung2018M","RufZamojski2021M","FALSE"
0.0557078139195003,"Within cluster","Cheung2018M","RufZamojski2021M","FALSE"
0.0382354158780794,"Between clusters","Cheung2018M","RufZamojski2021M","FALSE"
0.0773428993081191,"Within cluster","Fletcher2019M","RufZamojski2021M","FALSE"
0.0115876888876462,"Between clusters","Fletcher2019M","RufZamojski2021M","FALSE"
0.0326611068342415,"Within cluster","Fletcher2019M","RufZamojski2021M","FALSE"
0.0152264969443668,"Between clusters","Fletcher2019M","RufZamojski2021M","FALSE"
0.0211549092351829,"Within cluster","Fletcher2019M","RufZamojski2021M","FALSE"
0.0167370198292419,"Between clusters","Fletcher2019M","RufZamojski2021M","FALSE"
0.02177773993673,"Within cluster","Fletcher2019M","RufZamojski2021M","FALSE"
0.0145784904742948,"Between clusters","Fletcher2019M","RufZamojski2021M","FALSE"
0.0278502088520719,"Within cluster","Fletcher2019M","RufZamojski2021M","FALSE"
0.0178997892297775,"Between clusters","Fletcher2019M","RufZamojski2021M","FALSE"
0.226934247680469,"Within cluster","Lopez2021M","RufZamojski2021M","FALSE"
0.113238761256879,"Between clusters","Lopez2021M","RufZamojski2021M","FALSE"
0.119801391323778,"Within cluster","Lopez2021M","RufZamojski2021M","FALSE"
0.105979027257539,"Between clusters","Lopez2021M","RufZamojski2021M","FALSE"
0.0920343808017402,"Within cluster","Lopez2021M","RufZamojski2021M","FALSE"
0.0915531371494531,"Between clusters","Lopez2021M","RufZamojski2021M","FALSE"
0.0832273183323403,"Within cluster","Lopez2021M","RufZamojski2021M","FALSE"
0.0932215718322084,"Between clusters","Lopez2021M","RufZamojski2021M","FALSE"
0.124368536297798,"Within cluster","Lopez2021M","RufZamojski2021M","FALSE"
0.111694918607394,"Between clusters","Lopez2021M","RufZamojski2021M","FALSE"
0.128054148493795,"Within cluster","Mayran2019M","RufZamojski2021M","FALSE"
0.00843343681418197,"Between clusters","Mayran2019M","RufZamojski2021M","FALSE"
0.0441092153422291,"Within cluster","Mayran2019M","RufZamojski2021M","FALSE"
0.0230197198108203,"Between clusters","Mayran2019M","RufZamojski2021M","FALSE"
0.043466068979632,"Within cluster","Mayran2019M","RufZamojski2021M","FALSE"
0.0216005366243587,"Between clusters","Mayran2019M","RufZamojski2021M","FALSE"
0.0367228791571659,"Within cluster","Mayran2019M","RufZamojski2021M","FALSE"
0.0229501462423323,"Between clusters","Mayran2019M","RufZamojski2021M","FALSE"
0.0325252217387513,"Within cluster","Mayran2019M","RufZamojski2021M","FALSE"
0.0227100052810061,"Between clusters","Mayran2019M","RufZamojski2021M","FALSE"
0.191544342540173,"Within cluster","RufZamojski2021M","RufZamojski2021M","TRUE"
-0.0172776380381012,"Between clusters","RufZamojski2021M","RufZamojski2021M","TRUE"
-5.22864151772242e-05,"Random shuffle","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0418159039574408,"Random shuffle within","RufZamojski2021M","RufZamojski2021M","TRUE"
0.101891117809507,"Within cluster","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0311700573719707,"Between clusters","RufZamojski2021M","RufZamojski2021M","TRUE"
5.34736053734474e-05,"Random shuffle","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0786406279512877,"Random shuffle within","RufZamojski2021M","RufZamojski2021M","TRUE"
0.129777238854983,"Within cluster","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0180379172299838,"Between clusters","RufZamojski2021M","RufZamojski2021M","TRUE"
1.19500841197349e-05,"Random shuffle","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0436258532748234,"Random shuffle within","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0871055018330599,"Within cluster","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0301499715024812,"Between clusters","RufZamojski2021M","RufZamojski2021M","TRUE"
-3.19193844660986e-05,"Random shuffle","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0580644364178571,"Random shuffle within","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0521210388972666,"Within cluster","RufZamojski2021M","RufZamojski2021M","TRUE"
-0.00314422397236376,"Between clusters","RufZamojski2021M","RufZamojski2021M","TRUE"
7.94617279772721e-05,"Random shuffle","RufZamojski2021M","RufZamojski2021M","TRUE"
0.0203376456533334,"Random shuffle within","RufZamojski2021M","RufZamojski2021M","TRUE"
0.144266456072196,"Within cluster","Vennekens2021M","RufZamojski2021M","FALSE"
0.0309262352262311,"Between clusters","Vennekens2021M","RufZamojski2021M","FALSE"
0.0540406980089496,"Within cluster","Vennekens2021M","RufZamojski2021M","FALSE"
0.0329252561538177,"Between clusters","Vennekens2021M","RufZamojski2021M","FALSE"
0.0428529221126057,"Within cluster","Vennekens2021M","RufZamojski2021M","FALSE"
0.0359686606681672,"Between clusters","Vennekens2021M","RufZamojski2021M","FALSE"
0.0443693411445147,"Within cluster","Vennekens2021M","RufZamojski2021M","FALSE"
0.0344819865810537,"Between clusters","Vennekens2021M","RufZamojski2021M","FALSE"
0.0498436944811648,"Within cluster","Vennekens2021M","RufZamojski2021M","FALSE"
0.0425180669049226,"Between clusters","Vennekens2021M","RufZamojski2021M","FALSE"
0.0636992199788538,"Within cluster","Cheung2018M","Vennekens2021M","FALSE"
0.026158740637218,"Between clusters","Cheung2018M","Vennekens2021M","FALSE"
0.0792305382672335,"Within cluster","Cheung2018M","Vennekens2021M","FALSE"
-0.0281827501041292,"Between clusters","Cheung2018M","Vennekens2021M","FALSE"
0.156720080682823,"Within cluster","Cheung2018M","Vennekens2021M","FALSE"
0.0180762435829486,"Between clusters","Cheung2018M","Vennekens2021M","FALSE"
0.29356372710604,"Within cluster","Cheung2018M","Vennekens2021M","FALSE"
-0.0553651121250855,"Between clusters","Cheung2018M","Vennekens2021M","FALSE"
0.0292028600427055,"Within cluster","Fletcher2019M","Vennekens2021M","FALSE"
0.0204476034075296,"Between clusters","Fletcher2019M","Vennekens2021M","FALSE"
-0.0148366490180127,"Within cluster","Fletcher2019M","Vennekens2021M","FALSE"
0.00362133209170341,"Between clusters","Fletcher2019M","Vennekens2021M","FALSE"
0.0404382883527317,"Within cluster","Fletcher2019M","Vennekens2021M","FALSE"
0.020437064052257,"Between clusters","Fletcher2019M","Vennekens2021M","FALSE"
0.0411983905912586,"Within cluster","Fletcher2019M","Vennekens2021M","FALSE"
0.0142237629002557,"Between clusters","Fletcher2019M","Vennekens2021M","FALSE"
0.132780018333847,"Within cluster","Lopez2021M","Vennekens2021M","FALSE"
0.0612265075281301,"Between clusters","Lopez2021M","Vennekens2021M","FALSE"
0.234073153901644,"Within cluster","Lopez2021M","Vennekens2021M","FALSE"
0.0936829934149097,"Between clusters","Lopez2021M","Vennekens2021M","FALSE"
0.0571705165261006,"Within cluster","Lopez2021M","Vennekens2021M","FALSE"
0.0623443632689254,"Between clusters","Lopez2021M","Vennekens2021M","FALSE"
0.451365596382653,"Within cluster","Lopez2021M","Vennekens2021M","FALSE"
-0.162029677172062,"Between clusters","Lopez2021M","Vennekens2021M","FALSE"
0.0664984016505888,"Within cluster","Mayran2019M","Vennekens2021M","FALSE"
0.0200013829824817,"Between clusters","Mayran2019M","Vennekens2021M","FALSE"
0.0532211595511314,"Within cluster","Mayran2019M","Vennekens2021M","FALSE"
0.0260810429549642,"Between clusters","Mayran2019M","Vennekens2021M","FALSE"
0.0343495471524412,"Within cluster","Mayran2019M","Vennekens2021M","FALSE"
0.0215055576491257,"Between clusters","Mayran2019M","Vennekens2021M","FALSE"
0.185781434532234,"Within cluster","Mayran2019M","Vennekens2021M","FALSE"
-0.0533794893898701,"Between clusters","Mayran2019M","Vennekens2021M","FALSE"
0.0607980202758544,"Within cluster","RufZamojski2021M","Vennekens2021M","FALSE"
0.0338551789713137,"Between clusters","RufZamojski2021M","Vennekens2021M","FALSE"
0.0403053330240865,"Within cluster","RufZamojski2021M","Vennekens2021M","FALSE"
0.0398213763287565,"Between clusters","RufZamojski2021M","Vennekens2021M","FALSE"
0.0754803243029834,"Within cluster","RufZamojski2021M","Vennekens2021M","FALSE"
0.0339463312317616,"Between clusters","RufZamojski2021M","Vennekens2021M","FALSE"
0.404809037753597,"Within cluster","RufZamojski2021M","Vennekens2021M","FALSE"
-0.127771294326532,"Between clusters","RufZamojski2021M","Vennekens2021M","FALSE"
0.119846360207593,"Within cluster","Vennekens2021M","Vennekens2021M","TRUE"
0.0219082158832337,"Between clusters","Vennekens2021M","Vennekens2021M","TRUE"
0.000244300658991812,"Random shuffle","Vennekens2021M","Vennekens2021M","TRUE"
0.0667924790828591,"Random shuffle within","Vennekens2021M","Vennekens2021M","TRUE"
0.133010093906594,"Within cluster","Vennekens2021M","Vennekens2021M","TRUE"
-0.0126416081629683,"Between clusters","Vennekens2021M","Vennekens2021M","TRUE"
0.00199544210630641,"Random shuffle","Vennekens2021M","Vennekens2021M","TRUE"
0.0766043129490946,"Random shuffle within","Vennekens2021M","Vennekens2021M","TRUE"
0.147307478015633,"Within cluster","Vennekens2021M","Vennekens2021M","TRUE"
0.0105749019838729,"Between clusters","Vennekens2021M","Vennekens2021M","TRUE"
-0.000136592696619133,"Random shuffle","Vennekens2021M","Vennekens2021M","TRUE"
0.103221176502732,"Random shuffle within","Vennekens2021M","Vennekens2021M","TRUE"
0.276937756878891,"Within cluster","Vennekens2021M","Vennekens2021M","TRUE"
-0.0396754518347921,"Between clusters","Vennekens2021M","Vennekens2021M","TRUE"
-0.000851885765121485,"Random shuffle","Vennekens2021M","Vennekens2021M","TRUE"
0.0864128802970335,"Random shuffle within","Vennekens2021M","Vennekens2021M","TRUE"
